Title,Company,Address,Time,Requirements
Contract Specialist,Premier Services and Recruitment Overseas  ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Legal · Contracting · Communication · Contracts · Law · English · Legal · Negotiation · negotiation skills
Treasury Manager,Wadi Degla Trading  ,"Maadi, Cairo, Egypt ",Full Time,Full TimeSenior Management · 10 - 15 Yrs of Exp · Accounting/Finance · Banking · Cash Flow · credit · Finance · Management · Treasury · Accounting · Financial Analysis · English
IOS Developer,intrazero ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Swift · UIkit · Autolayout · CocoaPods · OOP · MVC · MVVM · RESTful APIs · Design Patterns
MD Office Manager,Gazala Steel Fabrication GSF ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 5 - 7 Yrs of Exp · males_only · Administration · Operations/Management · Office manager · Personal Assistant · Secretary · Administration · English · Microsoft Office · Office management · MS Office
Software Developer,ContrackFM ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Engineering · Computer Science · Information Technology (IT) · Software Development · Communication skills · English · Programming
Technical Office Engineer,Floortec ,"Ismailia, Ismailia, Egypt ",Full Time,Full TimeExperienced · 4 - 7 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Civil · Technical Office Engineering · Design · Engineering · civil 3d · AutoCAD · Site Engineering
Office Administrator,Confidential ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 5 Yrs of Exp · males_preferred · Administration · Operations/Management · Administration · Office Management · Executive · Executive Secretary · Administrative · Research · Business · Management
Purchasing Specialist,Confidential ,"Ashmun, Monufya, Egypt ",Full Time,Full TimeExperienced · 5 - 8 Yrs of Exp · males_only · Purchasing/Procurement · Management · Purchasing · Procurement · business · Administration · Business Administration · Communication · Logistics · negotiation skills
Senior Treasury Accountant,Mozare3 ,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · Administration · Accounting · Finance · Accounting Software · Financial Management · Financial Analysis · English
Restaurant Manager,Blue Nile ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeManager · 10 - 15 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Beverage · restaurant · Restaurant Management · Hotels · food and beverage · Financial Management · Management
